Startup,Industry,SubVertical,City,Investors,InvestmentType,Date,InvestmentAmount
SmartTech,Enterprise,Automation,Chennai,Accel,Series C,2025-02-06,897.09994
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,2022-12-14,0.68976
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,2021-05-13,50.65904
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,2023-07-28,139.87758
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,2024-10-23,13.99638
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,2020-04-05,38.9906
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,2024-10-07,12.18576
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,2021-09-04,0.44068
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,2020-10-13,1265.17312
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,2021-11-28,2414.45698
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,2022-07-11,507.2131
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,2023-06-20,1.41784
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,2024-05-24,6.1791
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,2021-07-06,6.18868
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,2020-02-23,7.05088
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,2020-01-26,5333.665
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,2023-11-04,38.26252
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,2021-09-05,3.04644
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,2020-08-07,9.101
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,2022-05-31,55.68854
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,2023-11-24,6.38028
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,2023-02-28,9.02436
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,2021-03-05,12.77014
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,2021-09-12,1.66692
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2023-05-09,26.4887
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,2025-02-15,12.3582
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,2023-08-14,0.72808
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,2022-11-11,0.54606
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,2020-11-04,174.17398
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,2024-02-04,1671.01066
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2022-06-16,20.81734
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,2020-12-02,246.47424
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,2023-09-08,0.53648
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,2021-02-25,53.13068
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,2021-10-29,9.9632
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,2021-10-03,1.81062
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,2024-07-24,13.51738
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,2021-01-09,3.28594
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,2023-07-25,8.20048
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,2021-01-18,1.06338
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,2021-02-03,51.75116
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,2020-06-18,12.0708
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,2020-12-10,11.017
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,2023-01-17,3.4009
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,2022-05-20,41.42392
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,2024-07-30,5.0295
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,2023-04-19,1368.81914
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,2024-07-07,2692.0758
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,2021-07-01,3.21888
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,2024-11-10,7.12752
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,2023-03-28,82.52212
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,2024-12-01,101.5001
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,2022-07-27,161.77746
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,2024-08-23,0.64186
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,2023-07-06,0.20118
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,2025-02-05,379.77036
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,2021-05-27,486.35744
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,2024-03-26,329.89688
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,2020-06-08,2.16508
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,2024-10-27,306.33966
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,2024-12-09,0.85262
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,2020-01-18,18.86302
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,2023-06-15,0.24908
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,2022-05-29,4.96244
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,2024-01-16,57.25966
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2022-11-09,20.44372
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,2020-08-18,127.16492
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,2020-09-27,0.44068
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,2025-05-08,859.73794
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,2020-05-03,0.78556
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,2023-01-03,2.2513
FreshTech,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,2023-04-16,1.1975
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,2025-03-08,1.78188
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,2023-12-20,7.84602
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,2024-08-11,9.9632
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,2021-07-11,262.36746
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,2022-10-20,1.06338
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,2022-11-08,0.55564
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,2021-01-01,0.6227
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,2020-06-08,6.4186
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,2025-05-07,18.24032
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,2020-01-17,12.48274
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,2023-04-26,36.26988
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,2023-07-26,34.5359
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,2021-05-02,0.9101
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,2022-11-30,0.17244
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,2023-03-08,2.07886
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,2024-02-15,264.17808
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,2020-08-04,4.99118
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,2022-08-06,10.83498
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,2024-09-07,0.45026
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,2021-06-16,271.61216
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,2022-08-04,3.0656
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,2022-03-31,11.28524
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,2021-02-08,57.4321
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,2022-06-06,0.07664
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,2022-07-02,0.6227
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,2020-06-28,54.56768
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,2024-06-30,51.54998
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,2023-03-04,4.15772
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,2022-08-24,15.36632
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,2021-06-29,236.1949
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,2024-09-27,0.15328
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,2023-12-05,0.84304
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,2022-10-01,2.59618
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,2020-01-02,41.97956
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,2020-10-29,15.44296
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,2022-02-04,1.99264
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,2022-06-13,688.21762
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,2023-11-11,13.51738
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,2024-04-27,751.8384
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,2020-06-08,0.6227
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,2021-03-05,0.2395
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,2024-02-09,0.99632
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,2024-06-03,247.44182
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,2021-10-14,5.94918
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,2020-06-02,0.6227
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2023-08-31,22.72376
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,2022-04-18,10.81582
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,2024-09-16,10.2027
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,2020-07-17,86.94808
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,2022-03-25,1.35078
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,2024-12-18,0.73766
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,2021-07-04,6.25574
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,2024-03-29,4.08108
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,2021-04-27,103.11912
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,2025-04-28,7.21374
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,2020-06-09,1.21666
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,2022-03-24,1.82978
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,2022-05-09,15.49086
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,2020-07-25,73.1433
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,2022-08-26,85.1662
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,2024-12-26,1.87768
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,2020-02-11,0.16286
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,2023-11-03,1128.11206
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,2022-05-03,8.40166
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,2024-11-11,482.18056
NextSense,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,2024-10-09,14.83942
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,2020-04-13,1.37952
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,2020-09-10,157.36108
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,2020-11-30,7.64484
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,2024-10-14,1.09212
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,2022-11-17,63.7549
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,2021-04-03,2207.39486
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,2022-02-10,3.0656
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,2020-07-28,6.42818
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global Management",Seed,2020-08-09,1.56154
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,2022-11-25,13.0288
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,2021-08-28,140.9218
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,2021-12-03,197.30968
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,2020-12-14,13.51738
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,2025-01-16,0.6706
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,2021-11-09,454.92546
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,2023-07-23,15.94112
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,2022-04-26,125.70876
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,2025-01-02,33.80782
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,2020-04-28,4.92412
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,2024-05-15,645.36628
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,2020-03-18,1.87768
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,2020-01-09,0.41194
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,2020-05-13,5.72884
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global Management",Series A,2021-11-22,73.48818
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,2025-01-31,8.88066
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,2022-01-20,8.8136
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,2023-09-17,1.68608
DataAnalytics,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,2023-01-25,2.98896
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,2023-09-17,0.59396
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,2020-08-02,1697.71012
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,2021-02-13,2.4429
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,2022-10-13,1.47532
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,2024-09-06,0.13412
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,2020-07-26,66.26486
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,2024-07-23,0.8143
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,2020-07-13,395.62526
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,2025-05-10,0.30656
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,2022-07-23,1.20708
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global Management,Seed,2024-01-27,0.65144
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,2021-01-06,334.49528
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,2022-09-26,11.66844
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,2020-01-26,467.68602
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,2023-12-05,64.8566
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,2024-08-19,0.64186
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,2020-06-02,599.20026
QuantumSolutions,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,2020-06-10,2771.8772
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,2022-10-15,1.90642
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,2023-07-29,1.87768
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,2024-07-30,1731.09642
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,2022-01-14,662.1217
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,2022-02-04,138.35436
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,2020-09-04,7.7119
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,2024-09-11,0.1437
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,2020-04-09,12.01332
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,2024-07-27,8.42082
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,2024-04-10,0.25866
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,2023-12-04,2.54828
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,2023-07-02,13.56528
EduTech,Media,Streaming,Pune,A91 Partners,Series B,2024-04-07,65.20148
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,2022-05-15,1757.70966
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global Management,Seed,2024-05-27,0.49816
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,2020-03-07,681.68406
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,2024-02-29,555.7358
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,2024-06-02,1.25498
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,2023-12-14,0.06706
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,2023-10-30,5.24984
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,2022-05-27,5.33606
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,2023-12-24,4.1194
AgriSense,Retail,Fashion,Ahmedabad,"A91 Partners, Bessemer Venture Partners",Series D,2021-09-08,4390.43736
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2025-05-13,26.4408
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2020-07-07,20.76944
Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global Management",Pre-Series A,2021-03-23,7.07962
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,2023-06-10,0.0958
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,2024-01-22,16.72668
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,2025-01-13,0.20118
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,2020-05-14,1.79146
Meesho,Enterprise,Automation,Chennai,"IFC, Zodius Capital",Series D,2021-02-25,529.04592
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,2021-11-10,107.0086
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,2024-08-09,3.353
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,2020-02-04,140.98886
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,2024-10-03,0.22992
AeroAnalytics,Retail,Fashion,Hyderabad,"Y Combinator, Zodius Capital",Series A,2021-07-30,42.92798
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,2024-03-09,17.10988
Urban Company,RealEstate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,2025-02-15,204.27434
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,2023-01-26,4.08108
FoodSolutions,RealEstate,Rental Tech,Delhi,"Lightspeed India, Zodius Capital",Seed,2021-03-28,6.23658
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,2023-01-30,32.80192
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,2022-09-24,272.89588
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,2022-07-11,4.13856
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,2022-01-16,109.94966
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,2023-12-29,216.69002
FreshBox,Consumer Electronics,Wearables,Pune,"Accel, Ribbit Capital",Series C,2022-09-24,410.04316
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,2024-02-11,15.96028
ClearDekho,RealEstate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,2024-04-24,106.75952
Swiggy,Mobility,Micro Mobility,Kolkata,Kalaari Capital,Series B,2020-10-31,169.43188
Cars24,HealthTech,Health Analytics,Noida,Falcon Edge,Series A,2022-03-23,51.36796
MediWorks,Retail,Fashion,Delhi,"A91 Partners, Blume Ventures",Series C,2020-10-14,406.08662
GreenConnect,Consumer Electronics,Wearables,Bengaluru,Tiger Global,Seed,2022-09-25,0.958
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,2024-06-08,33.6258
AutoFlow,FinTech,WealthTech,Mumbai,"Matrix Partners India, Zodius Capital",Series B,2022-12-03,127.58644
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,2023-08-31,3.66914
UrbanSolutions,EdTech,Coding Bootcamp,Pune,"Bessemer Venture Partners, LCatterton",Series C,2021-12-07,236.49188
MediHive,HealthTech,Health Analytics,Delhi,"Blume Ventures, Elevation Capital, Nexus Venture Partners",Seed,2022-11-19,17.4356
Housejoy,RealEstate,PropTech,Chennai,Mirae Asset,Series C,2024-01-15,2768.65832
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,2020-03-29,0.958
BharatPe,HealthTech,Telemedicine,Ahmedabad,LCatterton,Seed,2020-12-06,3.45838
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,2024-01-30,1084.15902
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,2024-06-15,86.78522
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,2020-05-20,61.18746
LogiSense,EdTech,Coding Bootcamp,Delhi,"LCatterton, Omidyar Network",Series A,2020-12-29,14.87774
AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,2023-01-09,0.73766
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,2023-11-29,4198.25298
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,2025-02-02,2508.68586
PharmEasy,Enterprise,Analytics,Hyderabad,"Matrix Partners India, Sequoia Capital India",Series A,2023-01-18,68.37246
MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,2021-02-24,3.93738
DriveLoop,Logistics,Supply Chain,Noida,"Elevation Capital, Prosus Ventures",Pre-Series A,2022-01-18,2.50996
CoreFlow,Retail,Fashion,Kolkata,"Mirae Asset, Tiger Global Management",Seed,2023-02-19,14.9448
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,2023-09-12,3518.83938
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,2024-05-28,10.8254
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,2024-08-13,205.7784
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global Management, Y Combinator",Seed,2020-03-18,1.916
SmartTech,AgriTech,Supply Chain,Delhi,Lightspeed India,Series B,2022-06-18,453.24896
